NAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,HYPERLINK,TOTALROOMS,KEEPERNAME,Lat,Lng,ICON_NAME
Heritage Collection on Chinatown,58776,"227 SOUTH BRIDGE ROAD, # 01-03",NA,27,Yap Hui Wen,1.28277324511435,103.845722570878,hotel.gif
Heritage Collection on Seah,188395,39 SEAH STREET,NA,18,Yap Hui Wen,1.29589846119217,103.855088788757,hotel.gif
Hilton Garden Inn Singapore Serangoon,219924,3 Belilios Road,singi.hotel@hilton.com,328,Eva Moral,1.30833559981707,103.851928685296,hotel.gif
Hilton Singapore,238883,581 Orchard Road,sinhi@hilton.com,423,Peter Webster,1.30587902148372,103.829314887852,hotel.gif
Holiday Inn Express Singapore Clarke Quay,59573,2 Magazine Road,info.sincq@ihg.com,442,Alexandra Pauline Kloprogge,1.28924402665703,103.841983925747,hotel.gif
Amoy Hotel,48464,76 Telok Ayer Street,info.amoy@fareast.com.sg,37,Clemence Cheah,1.28300038937659,103.84864539809,hotel.gif
Andaz Singapore,189354,5 FRASER STREET,singapore@andaz.com,342,Karl Stephan Oliver,1.29916295638181,103.857859544648,hotel.gif
AQUEEN Prestige Hotel - Lavender,209204,35 HAMILTON ROAD,NA,72,Chan Boon Tat,1.31180974026488,103.861297941112,hotel.gif
ARABIC INN,199745,48 ARAB STREET KAMPONG @ ARAB,NA,6,sun kangqing,1.30078636753127,103.859681427203,hotel.gif
Beach Villas,98135,20 Sentosa Gateway,enquires@rwsentosa.com,35,Sim Wai Peng Tina,1.25923773923788,103.81654785488,hotel.gif
Bluewaters Pod,188091,"2 TAN QUEE LAN STREET, # 02-01 ATLANTIS PODS @ BUGIS",bluewatershospitalitypl@gmail.com,5,ANG QIU PING,1.29800182513386,103.856934787679,hotel.gif
CHAMPION HOTEL CITY,59293,37 NORTH CANAL ROAD,janet@championhotel.com.sg,33,Lim Liang Jason,1.28705545548872,103.847101673167,hotel.gif
Checkers Hostel @ Beach Road,199550,285 BEACH ROAD,MSRPHILIP@YAHOO.COM,23,MD SHAMSUR RAHMAN,1.30094429153444,103.860424414343,hotel.gif
Crockfords Tower,98270,10 Sentosa Gateway,enquires@rwsentosa.com,121,Sim Wai Peng Tina,1.25593387293635,103.819279861729,hotel.gif
D'Hotel,169040,231 OUTRAM ROAD WANGZ HOTEL,NA,41,WONG MEI LING JUDY,1.2843221081918,103.835010036802,hotel.gif
Dusit Thani Laguna Singapore,488047,11 LAGUNA GOLF GREEN LAGUNA NATIONAL GOLF & COUNTRY CLUB,NA,198,Piatti Eric Michel,1.32397331115705,103.962657084899,hotel.gif
Equarius Hotel,98133,16 Sentosa Gateway,enquiries@rwsentosa.com,183,Sim Wai Peng Tina,1.25767113430044,103.816896687818,hotel.gif
Festive Hotel,98271,12 Sentosa Gateway,enquiries@rwsentosa.com,447,Sim Wai Peng Tina,1.25602110299293,103.819026715795,hotel.gif
"Four Points by Sheraton Singapore, Riverview",169629,382 Havelock Road,finance@fourpointssingaporeriverview.com,476,Ho Chung Kain,1.28937098412522,103.836603813301,hotel.gif
Genting Hotel Jurong,608516,2 Town Hall Link,enquiries@rwsentosa.com,557,Sim Wai Peng Tina,1.33156162898379,103.739259626278,hotel.gif
Grand Copthorne Waterfront Hotel Singapore,169663,392 Havelock Road,enquiry.gcw@millenniumhotels.com,574,PJEY MAYANDI,1.29028192700494,103.835147957844,hotel.gif
Hard Rock Hotel,98139,28 Sentosa Gateway,enquiries@rwsentosa.com,364,Sim Wai Peng Tina,1.25746583281896,103.818913907351,hotel.gif
Heritage Collection on Boat Quay Quayside Wing,49864,76 BOAT QUAY,NA,41,YAP HUI WEN,1.28820207478702,103.849195879682,hotel.gif
Heritage Collection on Clarke Quay,58670,36 SOUTH BRIDGE ROAD LAI NGUANG BUILDING,NA,19,Yap Hui Wen,1.28808237913163,103.848499242966,hotel.gif
Hotel 1929,89154,50 KEONG SAIK ROAD Q LOFT HOTEL1929@CHINATOWN,NA,33,Tang Han Min Alan,1.28079216116778,103.841812331317,hotel.gif
Hotel Calmo Chinatown,58476,25 TRENGGANU STREET HOTEL 1887,NA,80,CAI WENCHAO,1.28256763758547,103.844175157457,hotel.gif
HOTEL CLASSIC,427353,12 JOO CHIAT ROAD,classic@venuehotel.sg,75,CHU POH YONG,1.31564277206077,103.897717275598,hotel.gif
Hotel Clover 769 North Bridge Road,198737,769 NORTH BRIDGE ROAD HOTEL CLOVER 769 NORTH BRIDGE ROAD,info@hotelclover769.com,35,"TEO JUN LIANG, JEREMY",1.30367081350441,103.859584470771,hotel.gif
Hotel Compass,398693,36 LORONG 22 GEYLANG HOTEL COMPASS,NA,49,JIN CHENCHEN,1.31100479193402,103.881864219755,hotel.gif
Hotel Michael,98269,8 Sentosa Gateway,enquiries@rwsentosa.com,464,Sim Wai Peng Tina,1.25493344657437,103.820219415166,hotel.gif
ibis budget Singapore Ametrine,399043,10 LORONG 10 GEYLANG,NA,38,Gan Kuan Yew,1.31145566986313,103.877505973005,hotel.gif
ibis budget Singapore Joo Chiat,427485,219 Joo Chiat Road,contact@fragrancehotel.com,90,GAN KUAN YEW,1.31149498302754,103.901246960843,hotel.gif
K Hotel 1515,388607,15 LORONG 15 GEYLANG ZEN ROOMS 1515,NA,80,CAI WENCHAO,1.31316413429455,103.878027379987,hotel.gif
K SPACE INN OWEN,218903,91A OWEN ROAD,NA,6,CAI WENCHAO,1.31333978908028,103.853166698166,hotel.gif
KINN,58673,39 SOUTH BRIDGE ROAD,RESERVATIONS@STAYWITHKINN.COM,7,BRANDON SMITH,1.28748835671493,103.848550528151,hotel.gif
M Hotel Singapore,79908,81 Anson Road,enquiry.mhs@millenniumhotels.com,415,Kung Teong Wah,1.27368776927434,103.84506021481,hotel.gif
New Cape Inn,168891,3 SENG POH ROAD GREEN WORLD,NA,76,CHRISTOPHER ELY,1.28556429182439,103.834075884942,hotel.gif
Oh My Suites,207309,3 VEERASAMY ROAD REDDOORZ PREMIUM @ SERANGOON,NA,24,"LEE YI, CHRISTABELLE",1.30782184572235,103.853089993362,hotel.gif
Orchard Hotel Singapore,238879,442 Orchard Road,NA,656,Wong On Tat Andy,1.30766860889292,103.82816440606,hotel.gif
Park 22 Hotel Little India,219184,60 KERBAU ROAD PARK 22 HOTEL LITTLE INDIA,NA,31,ROY LENG ZHENG,1.30761951351103,103.850729187175,hotel.gif
"PARKROYAL Collection Pickering, Singapore",58289,3 Upper Pickering Street,NA,367,JACOPIN JEAN-PHILIPPE DANIEL,1.28563913664569,103.846290282213,hotel.gif
Regin Hotel,387416,56 SIMS AVENUE ZEN ROOMS OASIS,NA,46,Heng Siam Khim,1.3132565842406,103.875894248569,hotel.gif
Rucksack Inn 2 @Lavender,338800,280A Lavender Street,NA,12,Dorit Grueber,1.31436249656989,103.860315945966,hotel.gif
Rucksack Inn@Lavender,338800,280  Lavender Street,lavender@rucksackinn.com,7,Dorit Grueber,1.31436249656989,103.860315945966,hotel.gif
ST Signature Chinatown,58822,273A SOUTH BRIDGE ROAD,xinfang.ng@straitsorg.com,25,Goh Keng Hong,1.28184250020967,103.845275724046,hotel.gif
ST Signature Jalan Besar,207372,15 UPPER WELD ROAD BUNC HOSTEL,NA,69,Goh Keng Hong,1.30536577750822,103.854840702869,hotel.gif
The Hive@bugis,199137,5 JALAN PINANG TREE IN LODGE,NA,8,YAN TONGJI,1.30262934394456,103.858395163567,hotel.gif
The Pan Pacific Hotel Singapore,39595,7 Raffles Boulevard,enquiry.ppsin@panpacific.com,790,Paul Margaret Spence,1.29111728356103,103.857758269035,hotel.gif
The Warehouse Hotel,169628,320 HAVELOCK ROAD,NA,37,Tarun Kalra,1.28920188923002,103.837472602698,hotel.gif
Village Hotel Changi,508502,1 Netheravon Road,info.vhc@fareast.com.sg,380,Teo Kah Eng,1.3904021092424,103.986061074378,hotel.gif
Village Hotel Katong,449536,25 Marine Parade Road,info.vhk@fareast.com.sg,229,Terence Govinden,1.30377936120631,103.902912251967,hotel.gif
Hotel 81 - Geylang,398863,20 Lorong 16 Geylang,hotel81@hotel81.com.sg,88,Chu Poh Yong,1.31178580684439,103.879565363057,hotel.gif
Hotel 81 - Gold,398738,20 Lorong 20 Geylang,hotel81@hotel81.com.sg,98,Chu Poh Yong,1.3119564255497,103.881122145385,hotel.gif
Classique Hotel,208913,"240 Jalan Besar , # 01-01",reservations@classiquehotel.com.sg,42,Ang Beng MAY,1.30942994343081,103.85816175664,hotel.gif
COLLER BOUTIQUE HOSTEL,169056,259 OUTRAM ROAD,NA,11,KHOO HOCK CHYE,1.28500519507722,103.834726678247,hotel.gif
Concorde Hotel Singapore,238840,100 Orchard Road,singapore@concorde.net,418,Karl Lee Muir,1.30061437146928,103.842228053204,hotel.gif
Conrad Centennial Singapore,38982,2 Temasek Boulevard,sinci_acc@conradhotels.com,512,Peter Toi,1.29352504343592,103.858774751329,hotel.gif
Copthorne King Hotel Singapore,169632,403 Havelock Road,rooms@copthornekings.com.sg,313,Yeoh Cheng Kung,1.28825959921985,103.836642496764,hotel.gif
Courtyard By Marriott Singapore Novena,329568,"99 IRRAWADDY ROAD, # 22-00 ROYAL SQUARE AT NOVENA",NA,250,Khong Cheng Hoe Peter,1.32059476707049,103.843165090044,hotel.gif
Coziee Lodge,389198,77A Geylang Road,denniskyj@gmail.com,5,"Kwek Yi Jun, Dennis",1.31077389402222,103.8728758866,hotel.gif
Crowne Plaza Changi Airport,819664,75 Airport Boulevard,sincp@ihg.com,563,Cristol Bruno Olivier,1.35868034734966,103.987947172552,hotel.gif
Days Hotel Singapore At Zhongshan Park,329133,1 Jalan Rajah,info@dayshotelsingapore.com,405,Tony John Cousens,1.32697770059675,103.847365855383,hotel.gif
Destination Singapore Beach Road,199598,700 BEACH ROAD 700 BEACH,Beelay.Pua@yourdestinationhotel.com,300,Steven Tang,1.30236655161918,103.864169303074,hotel.gif
Diamond Hotel,398806,25 Lorong 18 Geylang,diamondhotelreservations@gmail.com,42,Tan Hui Sion,1.31186042184822,103.880838668454,hotel.gif
Dorsett Singapore,88765,333 New Bridge Road,info.singapore@dorsetthotels.com,285,Khoo Lee Ping Jessie,1.27962668340609,103.840007598921,hotel.gif
Duxton Reserve,89540,83 Duxton Road,NA,49,Harpreet Kaur Bedi,1.27887034636785,103.843187860266,hotel.gif
EIGHTEEN BY THREE CABINS,68722,3 STANLEY STREET,k.yap@18by3.com,18,Lim Keong Wee,1.27987745135108,103.847645143301,hotel.gif
"Fairmont, Singapore",189560,80 Bras Basah Road,singapore@fairmont.com,772,Marcus Moris Hanna,1.2940764375654,103.853331832592,hotel.gif
five/6 Hotel Splendour,399167,5 LORONG 6 GEYLANG,NA,71,Teo Chou Chun,1.31090999883113,103.876690711173,hotel.gif
Fortuna Hotel,218842,2 Owen Road,reservations@fortunahotel.com.sg,105,Chong Hiew Kwang,1.31170732725136,103.854953210301,hotel.gif
Four Chain View Hotel,389659,757 Geylang Road,fchain@fourchain.com.sg,44,Ng Ah Hoi,1.31502461447216,103.890924420622,hotel.gif
Four Seasons Hotel,248646,190 Orchard Boulevard,NA,259,DRAMINSKY PETER CHRISTIAN,1.30521021365117,103.828652722779,hotel.gif
Fragrance Hotel - Balestier,329710,255 Balestier Road,contact@fragrancehotel.com,48,SUN YI,1.32197356951015,103.852659081425,hotel.gif
Fragrance Hotel - Classic,329808,418 Balestier Road,contact@fragrancehotel.com,48,SUN YI,1.32586501711441,103.849620250658,hotel.gif
Fragrance Hotel - Kovan,534629,760 Upper Serangoon Road,contact@fragrancehotel.com,43,SUN YI,1.35406396857104,103.878733101613,hotel.gif
Fragrance Hotel - Lavender,338710,51 Lavender Street,contact@fragrancehotel.com,35,Sun Yi,1.30978959074307,103.863070799569,hotel.gif
Fragrance Hotel - Oasis,329816,435 Balestier Road,contact@fragrancehotel.com,36,SUN YI,1.32588609260467,103.848605457803,hotel.gif
Fragrance Hotel - Ocean View,118773,432 Pasir Panjang Road,contact@fragrancehotel.com,47,Sun Yi,1.29241376307725,103.768512802074,hotel.gif
Fragrance Hotel - Rose,329715,263 Balestier Road,contact@fragrancehotel.com,68,Sun Yi,1.32207178695444,103.852564813209,hotel.gif
Fragrance Hotel - Viva,98721,75 Wishart Road,contact@fragrancehotel.com,33,Sun Yi,1.2698880661334,103.813969784211,hotel.gif
Furama City Centre Singapore,59804,60 Eu Tong Sen Street,financemgr.fcc@furama.com,445,Ng Wei Yong,1.28647356154828,103.844588552748,hotel.gif
Furama Riverfront Singapore,169633,405 Havelock Road,furama.riverfront@furama.com,615,Ng Wei Yeow,1.28763453813819,103.836092838867,hotel.gif
G4 Station Backpackers Hostel,228675,11 Mackenzie Road,info@g4station.com,23,Lee Fut Hua,1.3043490812321,103.849908920215,hotel.gif
GALLOP CHANGI BEACH RESORT,509671,49 HENDON ROAD,NA,40,MANIMAHALAI D/O CHAKRAPANI,1.38894206635745,103.980568397632,hotel.gif
GALLOP HILL TOP RESORT,287992,100 TURF CLUB ROAD,enquiry@gallopresort.com,40,MANIMAHALAI D/O CHAKRAPANI,1.33434829779462,103.795854254263,hotel.gif
GALLOP KRANJI FARM RESORT,718813,10 NEO TIEW LANE 2 D' KRANJI FARM RESORT,enquiry@gallopresort.com,37,MANIMAHALAI D/O CHAKRAPANI,1.41927815815058,103.718425687867,hotel.gif
Gap Year Hostel,338821,322 Lavender Street,gapyearhostel@gmail.com,7,Yee Seng Fu,1.31564004044032,103.859427833289,hotel.gif
Gay World Hotel,389218,115 Geylang Road,NA,27,Seah Ming Kwong,1.31119516204353,103.873741281934,hotel.gif
GOLDEN HOSTEL,160146,"146 JALAN BUKIT MERAH, # 01-1088",NA,7,Tham Keng Pong,1.27784875913754,103.830811464545,hotel.gif
Golden Royal Hotel,209645,51 Desker Road,eugene@goldenroyal-hotel.com,54,Ee Kee Chai,1.30914206986635,103.855250945612,hotel.gif
Cube @ Kampong Glam,199471,55 BUSSORAH STREET,NA,7,SONIA TAY MING HUI,1.30162127482298,103.859372517722,hotel.gif
CUBE @ smith street,58971,76A SMITH STREET,NA,7,TAY MING HUI SONIA,1.28316218264506,103.843006363679,hotel.gif
Cube Family Boutique Capsule Hotel @ Chinatown,58967,68A Smith Street,booking@yeschinatownpoint.com,24,TAY MING HUI SONIA,1.28303982961697,103.843161495087,hotel.gif
Darlene Hotel (Geylang),399096,32 Lorong 8 Geylang,darlenehotel@gmail.com,62,Teh Gek Keng,1.31090126773808,103.87696990266,hotel.gif
