NAME,DESCRIPTION,ADDRESSSTREETNAME,HYPERLINK,PHOTOURL,URL_PATH,IMAGE_ALT_TEXT,PHOTOCREDITS,LASTMODIFIED,LATITUDE,LONGTITUDE,META_DESCRIPTION,OPENING_HOURS,Lat,Lng,ICON_NAME,ADDRESSPOSTALCODE
Old Supreme Court Singapore,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",1 St Andrew's Road,http://app.supremecourt.gov.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/old-supreme-court-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/old-supreme-court.html,The Old Supreme Court lends a stately presence to the heart of Singapore city.,NA,2015-11-02T09:51:34.087+08:00,1.2897,103.85128,"Due to reopen as the National Gallery Singapore, the Old Supreme Court is in itself a masterpiece of classical art.",Expected to open in 2015,1.28970000014557,103.851279999897,tourist_spot.gif,NA
SIT Flats Singapore,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,Seng Poh Road and Tiong Bahru Road,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/sit-flats.html,The charm of Tiong Bahru comes to life through its Art Deco architecture.,NA,2015-11-02T10:09:11.340+08:00,1.28351,103.8336,The Art Deco elegance of the flats in Tiong Bahru speak of the richness of a vanished world.,NA,1.28350999988753,103.833600000006,tourist_spot.gif,0
Lau Pa Sat Singapore,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.",18 Raffles Quay,http://www.laupasat.biz,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lau-pa-sat-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/lau-pa-sat.html,"Lau Pa Sat blends graceful colonial architecture, heritage and delicious food.",NA,2015-11-02T09:59:12.640+08:00,1.28072,103.85044,"The historic market Lau Pa Sat offers a winning combination of graceful colonial architecture, a longstanding heritage and delicious food.","Daily, 24 hours",1.28072000015567,103.850439999873,tourist_spot.gif,NA
"Malay Heritage Centre, Singapore",The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.,85 Sultan Gate,http://www.malayheritage.org.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/malay-heritage-centre.html,Delve into the rich heritage and culture of Singapore’s Malay community.,NA,2015-11-02T10:08:04.332+08:00,1.30309,103.85986,The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.,"Malay Heritage Centre Museum, Tuesday to Sunday, 10am – 6pm, Closed on Monday, Malay Heritage Centre Compound, Tuesday to Sunday, 8am – 8pm, Friday and Saturday, 8am – 10pm, Closed on Monday",1.30308999956509,103.859860000297,tourist_spot.gif,NA
Peranakan Museum Singapore: History & Culture,"Get to know Singapore’s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.",39 Armenian Street,http://peranakanmuseum.org.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/peranakan-museum-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/peranakan-museum.html,"Many communities, one nation. Find out more about our people, such as the ubiquitous Peranakans.",NA,2015-11-02T10:11:13.152+08:00,1.29421,103.8492,"At the Peranakan Museum, get to know Singapore’s vibrant Peranakan community and its eclectic culture and history with fun and interactive exhibits.","Saturday to Thursday, 10am – 7pm, Friday, 10am – 9pm",1.29421000004168,103.849199999901,tourist_spot.gif,NA
Raffles Singapore,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.",1 Beach Road,http://www.raffleshotel.com,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/raffles-hotel-carousel03-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/raffles-hotel.html,The iconic Raffles Hotel has been home to both tall tales and famous folks.,"Raffles Hotel, Singapore",2015-11-02T10:11:09.028+08:00,1.29579,103.85404,"Sip a Singapore Sling beneath the whirling fans at the Long Bar, and let the tranquil charms of Raffles Singapore bring you back into another era.","Daily, 24 hours",1.29578999962302,103.854039999812,tourist_spot.gif,NA
Gillman Barracks – YourSingapore,A former British military camp is now Asia's new Destination for Contemporary Art.,9 Lock Road,https://www.gillmanbarracks.com/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/gillman-barracks.html,NA,Gillman Barracks,2015-11-03T10:00:29.955+08:00,1.2784,103.80459,"Gillman Barracks Singapore is Asia’s vibrant new destination for the creation, exhibition and discussion of contemporary art.","Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays.",1.27839999975018,103.804589999669,tourist_spot.gif,NA
Pinnacle@Duxton,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,1 Cantonment Road,http://www.pinnacleduxton.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/pinnacle-at-duxton.html,The Pinnacle@Duxton's architecture is a refreshing change in a sea of concrete blocks.,Malcolm Tredinnick,2015-11-02T09:37:49.535+08:00,1.27549,103.84142,"With its lofty towers and dizzying sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights.","50th storey Skybridge, Daily, 9am –10pm",1.27549000006861,103.841420000346,tourist_spot.gif,NA
Hajjah Fatimah Mosque,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,4001 Beach Road,NA,/content/dam/desktop/global/see-do-singapore/architecture/hajjah-fatimah-mosque-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hajjah-fatimah-mosque.html,The Hajjah Fatimah Mosque in Singapore features an intriguing blend of cross-cultural architectural influences.,NA,2015-11-02T09:55:25.479+08:00,1.30291,103.86285,"With its tilting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore.","Daily, 9am –9pm",1.30291000024041,103.862849999868,tourist_spot.gif,NA
Haw Par Villa: Singapore Theme Park,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,262 Pasir Panjang Road,NA,NA,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/haw-par-villa.html,NA,NA,2015-11-02T10:03:18.577+08:00,1.28551,103.78314,A visit to the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.,"Daily, 9am – 7pm",1.28551000025608,103.78314000043,tourist_spot.gif,NA
NUS Baba House - Singapore Peranakan Architecture,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",157 Neil Road,http://www.nus.edu.sg/museum/baba,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/baba-house-carousel02-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/nus-baba-house.html,Beautifully preserved architecture and artefacts make the NUS Baba House a must-visit.,NA,2015-11-02T10:05:26.618+08:00,1.27731,103.83731,"NUS Baba House is a heritage house that gives a rich look at Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.","Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm – 3pm,Tuesday, 6.30pm – 7.30pm,Thursday, 10am – 11am,Saturday, 11am – 12pm",1.27730999994787,103.83730999959,tourist_spot.gif,NA
Hong San See Temple Singapore,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",31 Mohamed Sultan Road,NA,NA,www.yoursingapore.com/en/see-do-singapore/architecture/historical/hong-san-see.html,NA,NA,2015-11-02T10:04:31.503+08:00,1.29316,103.841222,Dancing dragons and prancing phoenixes are just some of the visual delights to catch at the exquisitely restored Hong San See temple.,Daily,1.29316000042392,103.841222000025,tourist_spot.gif,NA
"Chinese Heritage Centre, Singapore",The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,12 Nanyang Drive,http://chc.ntu.edu.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinese-heritage-centre-carousel02-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/chinese-heritage-centre.html,Explore questions on ethnic identity such as what it means to be a Chinese.,"Chinese Heritage Centre, NTU",2015-11-02T09:59:33.922+08:00,1.34379,103.68398,The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,"Monday to Friday, 9.30am – 5pm,Saturday and Sunday, 10am –5pm, Closed on public holidays",1.34379000014733,103.683980000372,tourist_spot.gif,NA
Kampong Glam & Malay Culture in Singapore,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",3 Muscat Street,http://www.kampongglam.org.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/kampong-glam-carousel01-rect-norender.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/kampong-glam.html,"Delve into Malay culture at the heart of its community, Kampong Glam Singapore.",NA,2015-10-22T12:28:04.683+08:00,1.30238,103.8595,"Discover the heart of Singapore’s Malay community, living traditions, excellent eateries and trendy shops in vibrant Kampong Glam.",NA,1.30238000020279,103.859500000397,tourist_spot.gif,NA
Contemporary Arts Center,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.",43 Malan Road,http://www.ntu.ccasingapore.org/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/afiq_omar_rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/centre-for-contemporary-art.html,"The Contemporary Arts Center hosts exhibitions, live performances, film screenings and talks by visiting artists and curators.",Courtesy of NTU CCA Singapore,2015-10-20T12:34:59.810+08:00,1.275,103.8045,The Contemporary Arts Center at the Nanyang Technological University uses a variety of medium to explore contemporary art.,"Tuesday to Sunday, 12pm – 7pm Friday, 12pm – 9pm , Closed on Monday. Open on public holiday.",1.27500000017978,103.804499999613,tourist_spot.gif,NA
"The Substation, Singapore Contemporary Art Centre",This experimental arts centre gives a space for contemporary artists to try out new concepts.,45 Armenian Street,http://www.substation.org,NA,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/the-substation.html,NA,NA,2015-10-20T12:32:55.819+08:00,1.2944,103.84934,The Substation is an experimental arts centre that gives a space for contemporary artists to try out new concepts.,"The Substation Box Office ,Monday to Friday, 12pm - 2pm and 5pm - 8pm.Saturday and Sunday, open an hour prior to weekend showtimes. Closed on public holidays.The Substation Gallery Daily, 12pm – 9pm Closed on public holidays",1.29439999987209,103.849340000371,tourist_spot.gif,NA
"Red Dot Design Museum, Singapore","This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.","28 Maxwell Road, Red Dot Traffic",http://museum.red-dot.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/red-dot-design-museum-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/red-dot-design-museum.html,Award-winning exhibits at the Red Dot Design Museum in Singapore are sure to delight design fans.,Red Dot Museum,2015-10-20T12:16:22.647+08:00,1.27828,103.84572,"The Red Dot Design Museum holds more than 1,000 products and items that are winners for their good design.","Monday - Friday, 11am – 6 pm, Saturday and Sunday, 11am – 8 pm",1.27828000026461,103.845720000155,tourist_spot.gif,NA
Singapore Art Museum,"Singapore Art Museum is Singapore’s contemporary art museum, focused on Southeast Asian contemporary art.",71 Bras Basah Road,http://www.singaporeartmuseum.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/singapore-art-museum-carousel01-rect-norender.jpg,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/singapore-art-museum.html,Get to know the works of contemporary artists around Southeast Asia at the Singapore Art Museum.,NA,2015-10-20T11:37:44.504+08:00,1.297424,103.851068,The Singapore Art Museum houses the world’s largest public collection of contemporary Southeast Asian artworks.,"Monday to Thursday, 10am – 7pm, Friday, 10am – 9pm",1.29742399966641,103.851067999561,tourist_spot.gif,NA
Esplanade Theatres on the Bay,Catch a non-stop line-up of world-class performances at Singapore’s premier arts centre.,1 Esplanade Drive,http://www.esplanade.com/index.jsp,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/the-esplanade-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/esplanade-theatres-on-the-bay.html,"Get your dose of creativity at Esplanade Theatres on the Bay, Singapore's premier arts centre.","Mori Hidetaka, Courtesy of Esplanade – Theatres on the Bay",2015-10-20T12:21:35.825+08:00,1.2898,103.85528,Esplanade Theatres on the Bay is the country’s premier arts centre as well as an iconic landmark on the city’s skyline.,"Box Office Opening Hours Daily, 12pm – 8.30pm, The Esplanade Box Office will open 1 hour prior to show commencement for shows before 12 noon and will remain open up to half an hour after show commencement for shows starting after 8.30pm.",1.28980000039125,103.85528000036,tourist_spot.gif,NA
"National Design Centre, Singapore","The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.",111 Middle Road,http://www.designsingapore.org/ndc/About_NDC.aspx,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/national-design-centre-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/national-design-centre.html,"Explore the wonderful world of design at the National Design Centre, Singapore.",National Design Centre,2015-10-20T11:24:02.450+08:00,1.29882,103.85351,The National Design Centre is a design lover’s dream destination.,"Daily, 9.00am – 9.00pm",1.29882000029907,103.853509999977,tourist_spot.gif,NA
Victoria Theatre Singapore,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.",11 Empress Place,https://www.nac.gov.sg/arts-spaces/nac-arts-venues,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/victoria-theatre-concert-hall-caurousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/victoria-theatre-concert-hall.html,"Catch world-class performances at stunning venues, like The Victoria Theatre and Concert Hall.",NA,2015-10-22T09:40:49.148+08:00,1.28837,103.851641,The historic Victoria Theatre and Concert Hall has been transformed to meet the needs of a modern audience.,"Daily, 10am – 9pm",1.28836999974441,103.851641000048,tourist_spot.gif,NA
"NUS University Museum, Singapore",Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.,"50 Kent Ridge Crescent, National University of Singapore",http://www.nus.edu.sg/cfa/museum/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/nus-museum-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/nus-museum.html,"The NUS Museum in Singapore houses more than 8,000 exhibits that take you back to the past.",NA,2015-10-20T11:32:34.809+08:00,1.3017749,103.7726864,Get a deeper insight into Asian art and artefacts at NUS Museum at Singapore’s leading university.,"Tuesday to Friday, 10am – 7.30pm,Saturday and Sunday, 10am – 6pm",1.30177490022966,103.772686400217,tourist_spot.gif,NA
Sun Yat Sen Memorial Hall,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,12 Tai Gin Road,http://www.sysnmh.org.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/sun-yat-sen-memorial-hall-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/sun-yat-sen-memorial-hall.html,The Sun Yat Sen Memorial Hall pays tribute to the revolutionary leader.,Choo Yut Shing,2015-10-26T14:46:02.086+08:00,1.32795,103.84692,The Sun Yat Sen Memorial Hall is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,"Tuesday to Sunday, 10am – 5pm, Closed on Monday",1.32794999992872,103.846919999683,tourist_spot.gif,NA
Asian Civilisations Museum & Singapore Museum,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.",1 Empress Place,http://acm.org.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/asian-civilizations-museum-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/asian-civilizations-museum.html,"The Asian Civilizations Museum, Singapore is a historic building that tells the story of Asian civilisation.",National Heritage Board,2015-10-26T14:28:34.961+08:00,1.287384,103.851723,"Housed in a historical building by the Singapore River, this museum is a microcosm of Asian civilisations spread over 11 galleries.","Saturday to Thursday, 10am – 7pm, Friday, 10am – 9pm",1.28738400000619,103.851723000111,tourist_spot.gif,NA
National Museum of Singapore,Singapore’s oldest museum is a progressive showcase of the country’s history and culture.,93 Stamford Road,http://nationalmuseum.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/national-museum-of-singapore.html,The National Museum of Singapore building is also an architectural icon that is stunning to behold.,National Heritage Board,2015-10-26T14:25:34.625+08:00,1.29689,103.84883,The National Museum of Singapore is a progressive showcase of the country’s history and culture.,"Singapore History Gallery Daily, 10am – 6pm,Last admission at 5.30pm.Singapore Living Galleries Daily, 10am – 8pm Free admission from 6pm –8pm , Last admission at 7.30pm",1.29688999970951,103.848829999797,tourist_spot.gif,NA
The Japanese Cemetery Park,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore’s early Japanese community.",825B Chuan Hoe Avenue,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/japanese-cemetery-park-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/japanese-cemetery-park.html,"The Japanese Cemetery Park holds the ashes of thousands of Japanese soldiers, marines and airmen killed during World War II.",NA,2015-10-26T14:42:00.436+08:00,1.36431,103.87584,"The Japanese Cemetery Park is the largest Japanese cemetery in Southeast Asia, containing nearly 1,000 graves of Singapore’s early Japanese community.",Daily,1.36431000015172,103.875839999999,tourist_spot.gif,NA
"Dalhousie Obelisk, a Singapore Landmark",Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,1 Empress Place,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/dalhousie-obelisk-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/dalhousie-obelisk.html,The Dalhousie Obelisk is a historically significant piece of Singapore architecture.,Joel Chua DY,2015-10-26T14:38:19.671+08:00,1.28704,103.85238,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,Daily,1.28704000008817,103.85237999961,tourist_spot.gif,NA
Raffles Statue – Sir Stamford Raffles Landing Site,"The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.","Raffles Landing Site , 59 Boat Quay",NA,NA,www.yoursingapore.com/en/see-do-singapore/history/memorials/sir-raffles-statue-landing-site.html,NA,NA,2015-10-26T14:48:54.546+08:00,1.287766,103.850845,"Raffles Statue depicts the founder of modern Singapore, Sir Stamford Raffles. Two statues exist today, at the Raffles Landing Site and Empress Place.",Daily,1.28776599999073,103.850845000128,tourist_spot.gif,NA
Singapore Philatelic Museum,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.,23-B Coleman Street,http://spm.org.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-philatetic-museum-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/philatelic-museum.html,Take a colourful trip back in time at this Singapore museum dedicated to postage stamps and related materials.,Singapore Philatelic Museum,2015-10-26T14:31:26.106+08:00,1.29294,103.8487,The Philatelic Museum offers visitors postage stamp-sized windows into Singapore and the rest of the world.,"Monday, 1pm – 7pm,Tuesday to Sunday, 9.30am – 7pm",1.29294000001091,103.84869999984,tourist_spot.gif,NA
Old Ford Factory Singapore Museum,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.,351 Upper Bukit Timah Road,http://www.nas.gov.sg/moff/Home.aspx,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/memories-at-ford-factory-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/memories-at-ford-factory.html,"The site of the first Ford plant in Southeast Asia, the Old Ford Factory in Singapore is a journey to the past.",Joel Chua DY,2015-10-26T14:21:11.852+08:00,1.35232,103.76883,The Old Ford Factory is a repository of memories about the hardships endured during the Japanese Occupation of Singapore.,"Monday to Saturday, 9am – 5.30pm,Sunday, 12pm – 5.30pm",1.35231999982847,103.768829999903,tourist_spot.gif,NA
